game_date,opponent,venue,inning_number,top_or_bottom,pitcher_name,pitcher_team,pitcher_lefty,batter_name,batter_team,batter_lefty,balls,strikes,outs_before,pitch_type_name,pitch_result,atbat_result,velo,pitch_locheight,pitch_locside,ball_in_play_direction,ball_in_play_distance,inplay_value,angle,atbat_result_id,autopitchtype,awayteam,ax_fts,ay_fts,az_fts,batter_team_id,batterside,bearing,carry_distance,carry_flight_time_s,contactpositionx,contactpositiony,contactpositionz,date,direction,exitspeed,external_id,game_key,gameuid,gorout_horizontal_location_intent,gorout_horizontal_location_result,gorout_score_horizontal,gorout_score_vertical,gorout_vertical_location_intent,gorout_vertical_location_result,hit_location,hitspinrate,hitter_external_id,hitter_internal_id,hittype,hometeam,inning,inning_pitch_number,inplay_value_id,korbb,lasttrackeddistance,league,level,man_on_first,man_on_second,man_on_third,outs,outsonplay,paofinning,performance_data_key,pfxx_in,pfxz_in,pitch_approach_h,pitch_approach_v,pitch_break_h_in,pitch_break_v_in,pitch_extension_ft,pitch_id,pitch_launch_h,pitch_launch_v,pitch_number,pitch_release_height_ft,pitch_release_side_ft,pitch_result_id,pitch_spin_axis,pitch_spin_rpm,pitch_spin_tilt,pitch_time_s,pitch_type,pitch_zone_speed_mph,pitchcall,pitcher_external_id,pitcher_internal_id,pitcher_team_id,pitcherset,pitcherthrows,pitchofpa,pitchuid,platelocheight,platelocside,playresult,positionatx,positionaty,positionatz,relspeed,runsscored,session_id,session_type,stadium,taggedpitchtype,time,timestamp,topbottom,tracking_type,vertbreak,vx_fts,vy_fts,vz,x0_ft,y,z0_ft
2025-05-06,Elder High School,Kremcheck Stadium,1,Top,Connor Fuhrer,Moeller,False,Mason Chumley,Elder High School,False,0,0,0,Fast Ball,Strike Foul,,87,2.400,0.800,0.00,0.00, -- ,,0,,,,,,79186,,,,,,,,5/6/25,,,,mg_492436,,,,,,,,0,,,868414,,,,1,0,,,,,False,False,False,,,,ph_27836072,,,,,,,,27836072,,,1,,,40,,,,,1,,,,556700,58177,,,,,,,,,,,,,mg_492436,game,,,5:01:30 PM,1746565290,,Charted,,,,,,,
2025-05-06,Elder High School,Kremcheck Stadium,1,Top,Connor Fuhrer,Moeller,False,Mason Chumley,Elder High School,False,0,1,0,Fast Ball,Ball,,88,3.800,0.100,0.00,0.00, -- ,,0,,,,,,79186,,,,,,,,5/6/25,,,,mg_492436,,,,,,,,0,,,868414,,,,2,0,,,,,False,False,False,,,,ph_27836076,,,,,,,,27836076,,,2,,,1,,,,,1,,,,556700,58177,,,,,,,,,,,,,mg_492436,game,,,5:01:45 PM,1746565305,,Charted,,,,,,,
2025-05-06,Elder High School,Kremcheck Stadium,1,Top,Connor Fuhrer,Moeller,False,Mason Chumley,Elder High School,False,1,1,0,Slider,Ball,,76,3.600,-1.400,0.00,0.00, -- ,,0,,,,,,79186,,,,,,,,5/6/25,,,,mg_492436,,,,,,,,0,,,868414,,,,3,0,,,,,False,False,False,,,,ph_27836079,,,,,,,,27836079,,,3,,,1,,,,,32,,,,556700,58177,,,,,,,,,,,,,mg_492436,game,,,5:01:57 PM,1746565317,,Charted,,,,,,,
2025-05-06,Elder High School,Kremcheck Stadium,1,Top,Connor Fuhrer,Moeller,False,Mason Chumley,Elder High School,False,2,1,0,Fast Ball,Strike Foul,,87,1.700,0.500,0.00,0.00, -- ,,0,,,,,,79186,,,,,,,,5/6/25,,,,mg_492436,,,,,,,,0,,,868414,,,,4,0,,,,,False,False,False,,,,ph_27836083,,,,,,,,27836083,,,4,,,40,,,,,1,,,,556700,58177,,,,,,,,,,,,,mg_492436,game,,,5:02:13 PM,1746565333,,Charted,,,,,,,
2025-05-06,Elder High School,Kremcheck Stadium,1,Top,Connor Fuhrer,Moeller,False,Mason Chumley,Elder High School,False,2,2,0,Slider,Strike In Play,Ground Out,77,2.200,0.300,-7.26,119.97,Ground Ball,,2,,,,,,79186,,,,,,,,5/6/25,,,,mg_492436,,,,,,,,6-3,,,868414,,,,5,20,,,,,False,False,False,,,,ph_27836087,,,,,,,,27836087,,,5,,,50,,,,,32,,,,556700,58177,,,,,,,,,,,,,mg_492436,game,,,5:02:27 PM,1746565347,,Charted,,,,,,,
2025-05-06,Elder High School,Kremcheck Stadium,1,Top,Connor Fuhrer,Moeller,False,Eli Roden,Elder High School,True,0,0,1,Fast Ball,Strike Foul,,87,1.800,0.100,0.00,0.00, -- ,,0,,,,,,79186,,,,,,,,5/6/25,,,,mg_492436,,,,,,,,0,,,629850,,,,6,0,,,,,False,False,False,,,,ph_27836095,,,,,,,,27836095,,,1,,,40,,,,,1,,,,556700,58177,,,,,,,,,,,,,mg_492436,game,,,5:02:55 PM,1746565375,,Charted,,,,,,,
2025-05-06,Elder High School,Kremcheck Stadium,1,Top,Connor Fuhrer,Moeller,False,Eli Roden,Elder High School,True,0,1,1,Slider,Ball,,77,0.600,1.600,0.00,0.00, -- ,,0,,,,,,79186,,,,,,,,5/6/25,,,,mg_492436,,,,,,,,0,,,629850,,,,7,0,,,,,False,False,False,,,,ph_27836100,,,,,,,,27836100,,,2,,,1,,,,,32,,,,556700,58177,,,,,,,,,,,,,mg_492436,game,,,5:03:21 PM,1746565401,,Charted,,,,,,,
2025-05-06,Elder High School,Kremcheck Stadium,1,Top,Connor Fuhrer,Moeller,False,Eli Roden,Elder High School,True,1,1,1,Fast Ball,Strike Looking,,87,2.000,0.800,0.00,0.00, -- ,,0,,,,,,79186,,,,,,,,5/6/25,,,,mg_492436,,,,,,,,0,,,629850,,,,8,0,,,,,False,False,False,,,,ph_27836105,,,,,,,,27836105,,,3,,,20,,,,,1,,,,556700,58177,,,,,,,,,,,,,mg_492436,game,,,5:03:36 PM,1746565416,,Charted,,,,,,,
2025-05-06,Elder High School,Kremcheck Stadium,1,Top,Connor Fuhrer,Moeller,False,Eli Roden,Elder High School,True,1,2,1,Slider,Strike Looking,Strike Out,78,1.200,0.400,0.00,0.00, -- ,,1,,,,,,79186,,,,,,,,5/6/25,,,,mg_492436,,,,,,,,0,,,629850,,,,9,0,,,,,False,False,False,,,,ph_27836110,,,,,,,,27836110,,,4,,,20,,,,,32,,,,556700,58177,,,,,,,,,,,,,mg_492436,game,,,5:03:50 PM,1746565430,,Charted,,,,,,,
2025-05-06,Elder High School,Kremcheck Stadium,1,Top,Connor Fuhrer,Moeller,False,Jaden Walpole,Elder High School,False,0,0,2,Slider,Strike Swing and Miss,,77,0.900,1.900,0.00,0.00, -- ,,0,,,,,,79186,,,,,,,,5/6/25,,,,mg_492436,,,,,,,,0,,,629842,,,,10,0,,,,,False,False,False,,,,ph_27836116,,,,,,,,27836116,,,1,,,30,,,,,32,,,,556700,58177,,,,,,,,,,,,,mg_492436,game,,,5:04:13 PM,1746565453,,Charted,,,,,,,
